"";"car_type";"original_value";"Freq"
"1";"другое";"тент";1
"2";"необработанные";"любой закрытый";1112
"3";"необработанные";"авто";364
"4";"необработанные";"авиа";91
"5";"необработанные";"Закрытый";66
"6";"необработанные";"закрытый";65
"7";"необработанные";"авиа-авто";44
"8";"необработанные";"цельнометаллический";38
"9";"необработанные";"любой закрытый, отдельная";28
"10";"необработанные";"любой открытый";12
"11";"необработанные";"закрытый, отдельная";9
"12";"необработанные";"любой закрытый.";9
"13";"необработанные";"Закрытый, отдельная";8
"14";"необработанные";"любой закрытый,отдельный.";8
"15";"необработанные";"Реф, термос";8
"16";"необработанные";"реф,термос";6
"17";"необработанные";"Реф+10";6
"18";"необработанные";"любой закрытый,отдельный";4
"19";"необработанные";"тент";4
"20";"необработанные";"любой закрытый, не фура";3
"21";"необработанные";"любой закрытый, под паллеты высотой 1,7м";3
"22";"необработанные";"отдельная, закрытая, задняя";3
"23";"необработанные";"реф +10 +15";3
"24";"необработанные";"Реф тер";3
"25";"необработанные";"светотеника";3
"26";"необработанные";"Термос";3
"27";"необработанные";"авто-ж/д-авто";2
"28";"необработанные";"Бортовой";2
"29";"необработанные";"верняя, боковая растентовка";2
"30";"необработанные";"еврофура закрытая.верхняя погрузка.коники";2
"31";"необработанные";"Закрытый с верхней загрузкой";2
"32";"необработанные";"любой закрытый (отдельная)";2
"33";"необработанные";"любой закрытый,";2
"34";"необработанные";"любой закрытый, по полу 2,2 метров";2
"35";"необработанные";"любой закрытый, под паллеты высотой 1,0м";2
"36";"необработанные";"Реф";2
"37";"необработанные";"4 м по полу";1
"38";"необработанные";"40-футовый контейнер, отдельная";1
"39";"необработанные";"40-футовый контейнер, под пломбу";1
"40";"необработанные";"авто-жд-авто";1
"41";"необработанные";"бок";1
"42";"необработанные";"в стандартной евро-фуре 3 м по полу, верхняя, на хвост машины";1
"43";"необработанные";"верх. борт.";1
"44";"необработанные";"ефрофура";1
"45";"необработанные";"ж/д+авто";1
"46";"необработанные";"ЗАКРЫТЫЙ";1
"47";"необработанные";"закрытый под пломбу";1
"48";"необработанные";"закрытый с боковой";1
"49";"необработанные";"Закрытый,";1
"50";"необработанные";"закрытый, (по полу не менее 5,6м), отдельная, под пломбу";1
"51";"необработанные";"закрытый, гидроборт";1
"52";"необработанные";"Закрытый, отд. машина, д. 4 м";1
"53";"необработанные";"закрытый, отдельная, гидроборт";1
"54";"необработанные";"Закрытый, отдельная, не менее 4 метров по полу";1
"55";"необработанные";"закрытый, отдельная, под пломбу";1
"56";"необработанные";"Закрытый, реф";1
"57";"необработанные";"закрытый, с габаритами не менее 4,5*2,05*1,8, отдельная";1
"58";"необработанные";"Закрытый,отдельный";1
"59";"необработанные";"Звкрытый с ДОПОГ";1
"60";"необработанные";"любой закрытый с задней и боковой";1
