"";"region";"city";"street";"latitude";"longitude"
"1";"Новосибирская";"Новосибирск";"Ленина";"55.0281016";"82.9210575"
"2";"Свердловская";"Екатеринбург";"Ленина";"56.8386326";"60.6054887"
"3";"Нижегородская";"Нижний Новгород";"Ленина";"56.3242093";"44.0053948"
"4";"Нижегородская";"Н.Новгород";"Ленина";"56.3242093";"44.0053948"
"5";"Татарстан";"Казань";"Ленина";"55.7943877";"49.1115312"
"6";"Самарская";"Самара";"Ленина";"53.1951657";"50.1067691"
"7";"Омская";"Омск";"Ленина";"54.9848136";"73.3674638"
"8";"Челябинская";"Челябинск";"Ленина";"55.1603659";"61.4007858"
"9";"Ростовская";"Ростов-на-Дону";"Ленина";"47.2224364";"39.7187866"
"10";"Башкортостан";"Уфа";"Ленина";"54.734853";"55.9578647"
"11";"Волгоградская";"Волгоград";"Ленина";"48.7072005";"44.5170207"
"12";"Пермский";"Пермь";"Ленина";"58.0103211";"56.2341778"
"13";"Красноярский";"Красноярск";"Ленина";"56.009466";"92.8524162"
"14";"Воронежская";"Воронеж";"Ленина";"51.6592378";"39.1968284"
"15";"Саратовская";"Саратов";"Ленина";"51.530376";"45.9530257"
"16";"Краснодарский";"Краснодар";"Ленина";"45.040235";"38.9760801"
"17";"Самарская";"Тольятти";"Ленина";"53.5206438";"49.389461"
"18";"Алтайский";"Барнаул";"Ленина";"53.3481145";"83.7798362"
"19";"Удмуртская";"Ижевск";"Ленина";"56.8527444";"53.2113961"
"20";"Ульяновская";"Ульяновск";"Ленина";"54.3080674";"48.3748717"
"21";"Приморский";"Владивосток";"Ленина";"43.1163807";"131.882348"
"22";"Ярославская";"Ярославль";"Ленина";"57.6216145";"39.897878"
"23";"Иркутская";"Иркутск";"Ленина";"52.2863513";"104.280655"
"24";"Тюменская";"Тюмень";"Ленина";"57.1530824";"65.5343118"
"25";"Дагестан";"Махачкала";"Ленина";"42.9848572";"47.5046303"
"26";"Хабаровский";"Хабаровск";"Ленина";"48.4647991";"135.0598811"
"27";"Оренбургская";"Оренбург";"Ленина";"51.7875191";"55.1017379"
"28";"Кемеровская";"Новокузнецк";"Ленина";"53.7942757";"87.2144046"
"29";"Кемеровская";"Кемерово";"Ленина";"55.3909721";"86.0467864"
"30";"Рязанская";"Рязань";"Ленина";"54.625457";"39.7359992"
"31";"Томская";"Томск";"Ленина";"56.4847036";"84.9481737"
"32";"Астраханская";"Астрахань";"Ленина";"46.3655808";"48.0559979"
"33";"Пензенская";"Пенза";"Ленина";"53.1753884";"45.0347408"
"34";"Татарстан";"Набережные";"Ленина";"55.7436475";"52.3958739"
"35";"Ленинградская";"Кировск";"Ленина";"59.875371";"30.9815205"
"36";"Липецкая";"Липецк";"Ленина";"52.6103027";"39.5946266"
"37";"Свердловская";"Кировград";"Ленина";"57.4298451";"60.0623588"
"38";"Кировская";"Кирово-Чепецк";"Ленина";"58.5559921";"50.0317608"
"39";"Тульская";"Тула";"Ленина";"54.192017";"37.6153885"
"40";"Кировская";"Киров";"Ленина";"58.6035313";"49.6679219"
"41";"Чувашская Республика";"Чебоксары";"Ленина";"56.1439378";"47.2488718"
"42";"Бурятия";"Улан-Удэ";"Ленина";"51.8334378";"107.5841511"
"43";"Калининградская";"Калининград";"Ленина";"54.7073218";"20.5072458"
"44";"Брянская";"Брянск";"Ленина";"53.2420071";"34.3652716"
"45";"Курская";"Курск";"Ленина";"51.7303391";"36.1926448"
"46";"Ивановская";"Иваново";"Ленина";"56.9994677";"40.9728231"
"47";"Челябинская";"Магнитогорск";"Ленина";"53.4071891";"58.9791432"
"48";"Тверская";"Тверь";"Ленина";"56.8585396";"35.9117898"
"49";"Ставропольский";"Ставрополь";"Ленина";"45.0445439";"41.9690168"
"50";"Крым";"Симферополь";"Ленина";"44.9482645";"34.100117"
"51";"Свердловская";"Нижний Тагил";"Ленина";"57.9101038";"59.9813242"
"52";"Белгородская";"Белгород";"Ленина";"50.5977351";"36.5858236"
"53";"Архангельская";"Архангельск";"Ленина";"64.5392985";"40.5170083"
"54";"Владимирская";"Владимир";"Ленина";"56.1281561";"40.4082995"
"55";"Севастополь";"Севастополь";"Ленина";"44.6167334";"33.5253552"
"56";"Краснодарский";"Сочи";"Ленина";"43.5855829";"39.7231419"
"57";"Курганская";"Курган";"Ленина";"55.4443448";"65.3161339"
"58";"Смоленская";"Смоленск";"Ленина";"54.7867168";"31.8153366"
"59";"Калужская";"Калуга";"Ленина";"54.5060439";"36.2515933"
"60";"Забайкальский";"Чита";"Ленина";"52.0340128";"113.4994884"
"61";"Марий Эл";"Волжск";"Ленина";"55.8622987";"48.371553"
"62";"Орловская";"Орёл";"Ленина";"52.9672573";"36.0696479"
"63";"Орловская";"Орел";"Ленина";"52.9672573";"36.0696479"
"64";"Волгоградская";"Волжский";"Ленина";"48.7978483";"44.7462417"
"65";"Вологодская";"Череповец";"Ленина";"59.1269214";"37.9092243"
"66";"Северная Осетия - Алания";"Владикавказ";"Ленина";"43.0205039";"44.6819383"
"67";"Мурманская";"Мурманск";"Ленина";"69.0076958";"33.0686019"
"68";"Ханты-Мансийский Автономный округ - Югра";"Сургут";"Ленина";"61.2539773";"73.3961726"
"69";"Вологодская";"Вологда";"Ленина";"59.2484186";"39.8356461"
"70";"Мордовия";"Саранск";"Ленина";"54.1807601";"45.1862263"
"71";"Тамбовская";"Тамбов";"Ленина";"52.7213021";"41.452258"
"72";"Башкортостан";"Стерлитамак";"Ленина";"53.6302498";"55.9315707"
"73";"Чеченская";"Грозный";"Ленина";"43.3179243";"45.6981102"
