;region;city;street;latitude;longitude
1;Санкт-Петербург;Санкт-Петербург;Бестужевская;60.05714;30.383179
2;Санкт-Петербург;Санкт-Петербург;Вербная;60.05714;30.383179
3;Санкт-Петербург;Санкт-Петербург;Верхний;60.05714;30.383179
4;Санкт-Петербург;Санкт-Петербург;Волго-Донской;60.05714;30.383179
5;Санкт-Петербург;Санкт-Петербург;Гражданский;60.05714;30.383179
6;Санкт-Петербург;Санкт-Петербург;Заповедная;60.05714;30.383179
7;Санкт-Петербург;Санкт-Петербург;Ириновский;60.05714;30.383179
8;Санкт-Петербург;Санкт-Петербург;Калинина;60.05714;30.383179
9;Санкт-Петербург;Санкт-Петербург;Киришская;60.05714;30.383179
10;Санкт-Петербург;Санкт-Петербург;Коломяжский;60.05714;30.383179
11;Санкт-Петербург;Санкт-Петербург;Комсомола;60.05714;30.383179
12;Санкт-Петербург;Санкт-Петербург;Лахта;60.05714;30.383179
13;Санкт-Петербург;Санкт-Петербург;Менделеевская;60.05714;30.383179
14;Санкт-Петербург;Санкт-Петербург;Минеральная;60.05714;30.383179
15;Санкт-Петербург;Санкт-Петербург;Октябрьская;60.05714;30.383179
16;Санкт-Петербург;Санкт-Петербург;Оптиков;60.05714;30.383179
17;Санкт-Петербург;Санкт-Петербург;Полюстровский;60.05714;30.383179
18;Санкт-Петербург;Санкт-Петербург;Руставели;60.05714;30.383179
19;Санкт-Петербург;Санкт-Петербург;Свердловская;60.05714;30.383179
20;Санкт-Петербург;Санкт-Петербург;Яхтенная;60.05714;30.383179
21;Санкт-Петербург;Санкт-Петербург;Блока;59.939125;30.3158225
22;Санкт-Петербург;Санкт-Петербург;Дегтярный;59.939125;30.3158225
23;Санкт-Петербург;Санкт-Петербург;Диктатуры;59.939125;30.3158225
24;Санкт-Петербург;Санкт-Петербург;Лиговский;59.939125;30.3158225
25;Санкт-Петербург;Санкт-Петербург;линия;59.939125;30.3158225
26;Санкт-Петербург;Санкт-Петербург;Малый;59.939125;30.3158225
27;Санкт-Петербург;Санкт-Петербург;Обводный;59.939125;30.3158225
28;Санкт-Петербург;Санкт-Петербург;Полтавская;59.939125;30.3158225
29;Санкт-Петербург;Санкт-Петербург;Рентгена;59.939125;30.3158225
30;Санкт-Петербург;Санкт-Петербург;Тележная;59.939125;30.3158225
31;Санкт-Петербург;Санкт-Петербург;Уральская;59.939125;30.3158225
32;Санкт-Петербург;Санкт-Петербург;Фонтанки;59.939125;30.3158225
33;Санкт-Петербург;Санкт-Петербург;Шкиперский;59.939125;30.3158225
34;Санкт-Петербург;Санкт-Петербург;Александр;59.80722;30.379514
35;Санкт-Петербург;Санкт-Петербург;Альпийский;59.80722;30.379514
36;Санкт-Петербург;Санкт-Петербург;Берггольц;59.80722;30.379514
37;Санкт-Петербург;Санкт-Петербург;Благодатная;59.80722;30.379514
38;Санкт-Петербург;Санкт-Петербург;Большевиков;59.80722;30.379514
39;Санкт-Петербург;Санкт-Петербург;Бумажная;59.80722;30.379514
40;Санкт-Петербург;Санкт-Петербург;Бухарестская;59.80722;30.379514
41;Санкт-Петербург;Санкт-Петербург;Волхонское;59.80722;30.379514
42;Санкт-Петербург;Санкт-Петербург;Ворошилова;59.80722;30.379514
43;Санкт-Петербург;Санкт-Петербург;Гладкий;59.80722;30.379514
44;Санкт-Петербург;Санкт-Петербург;Дальневосточн;59.80722;30.379514
45;Санкт-Петербург;Санкт-Петербург;Двинская;59.80722;30.379514
46;Санкт-Петербург;Санкт-Петербург;Заневский;59.80722;30.379514
47;Санкт-Петербург;Санкт-Петербург;Заозерная;59.80722;30.379514
48;Санкт-Петербург;Санкт-Петербург;Земская;59.80722;30.379514
49;Санкт-Петербург;Санкт-Петербург;Киевская;59.80722;30.379514
50;Санкт-Петербург;Санкт-Петербург;Кировский;59.80722;30.379514
51;Санкт-Петербург;Санкт-Петербург;Корабельная;59.80722;30.379514
52;Санкт-Петербург;Санкт-Петербург;Космонавтов;59.80722;30.379514
53;Санкт-Петербург;Санкт-Петербург;Красноармейская;59.80722;30.379514
54;Санкт-Петербург;Санкт-Петербург;Красное Село;59.80722;30.379514
55;Санкт-Петербург;Санкт-Петербург;Краснопутиловская;59.80722;30.379514
56;Санкт-Петербург;Санкт-Петербург;Кубинская;59.80722;30.379514
57;Санкт-Петербург;Санкт-Петербург;Лени Голикова;59.80722;30.379514
58;Санкт-Петербург;Санкт-Петербург;Ленинский;59.80722;30.379514
59;Санкт-Петербург;Санкт-Петербург;Лифляндская;59.80722;30.379514
60;Санкт-Петербург;Санкт-Петербург;Межевой;59.80722;30.379514
61;Санкт-Петербург;Санкт-Петербург;Мельничная;59.80722;30.379514
62;Санкт-Петербург;Санкт-Петербург;Металлострой;59.80722;30.379514
63;Санкт-Петербург;Санкт-Петербург;Московский;59.80722;30.379514
