"","calendar","diesel_price","dollar"
"1","2019-03-04","45.05","65,81"
"2","2019-03-03","45.05","65,81"
"3","2019-03-02","45.05","65,88"
"4","2019-03-01","45.05","65,75"
"5","2019-02-28","45.05","65,61"
"6","2019-02-27","45.05","65,25"
"7","2019-02-26","45.05","65,51"
"8","2019-02-25","45.05","65,51"
"9","2019-02-24","45.05","65,51"
"10","2019-02-23","45.05","65,54"
"11","2019-02-22","45.05","65,85"
"12","2019-02-21","46.45","65.5401"
"13","2019-02-20","46.44","65.8568"
"14","2019-02-19","46.43","66.2022"
"15","2019-02-18","46.42","66.247"
"16","2019-02-17","46.41","66.7044"
"17","2019-02-16","46.4","66.7044"
"18","2019-02-15","46.39","66.7044"
"19","2019-02-14","46.38","66.5429"
"20","2019-02-13","46.37","65.6783"
"21","2019-02-12","46.36","65.7147"
"22","2019-02-11","46.35","65.6517"
"23","2019-02-10","46.34","66.0628"
"24","2019-02-09","46.33","66.0628"
"25","2019-02-08","46.32","66.0628"
"26","2019-02-07","46.31","66.0199"
"27","2019-02-06","46.3","65.6686"
"28","2019-02-05","46.29","65.5691"
"29","2019-02-04","46.28","65.5859"
"30","2019-02-03","46.27","65.6601"
"31","2019-02-02","46.26","65.6601"
"32","2019-02-01","46.25","65.6601"
"33","2019-01-31","46.24","65.3577"
"34","2019-01-30","46.23","66.0987"
"35","2019-01-29","46.22","66.3412"
"36","2019-01-28","46.21","65.93"
"37","2019-01-27","46.2","65.917"
"38","2019-01-26","46.19","65.917"
"39","2019-01-25","46.18","65.917"
"40","2019-01-24","46.17","66.0016"
"41","2019-01-23","46.16","66.3318"
"42","2019-01-22","46.15","66.5499"
"43","2019-01-21","46.14","66.3634"
"44","2019-01-20","46.13","66.3309"
"45","2019-01-19","46.12","66.3309"
"46","2019-01-18","46.11","66.3309"
"47","2019-01-17","46.1","66.4438"
"48","2019-01-16","46.09","66.7617"
"49","2019-01-15","46.08","67.082"
"50","2019-01-14","46.07","67.192"
"51","2019-01-13","46.06","66.9167"
"52","2019-01-12","46.05","66.9167"
"53","2019-01-11","46.04","66.9167"
"54","2019-01-10","46.03","66.8605"
"55","2019-01-09","46.02","67.0795"
"56","2019-01-08","46.01","69.4706"
"57","2019-01-07","46","69.4706"
"58","2019-01-06","45.99","69.4706"
"59","2019-01-05","45.98","69.4706"
"60","2019-01-04","45.97","69.4706"
"61","2019-01-03","45.96","69.4706"
"62","2019-01-02","45.95","69.4706"
"63","2019-01-01","45.94","69.4706"
"64","2018-12-31","45.93","69.4706"
"65","2018-12-30","45.92","69.4706"
"66","2018-12-29","45.91","69.4706"
"67","2018-12-28","45.9","69.5218"
"68","2018-12-27","45.89","68.8762"
"69","2018-12-26","45.88","68.8865"
"70","2018-12-25","45.87","68.7448"
"71","2018-12-24","45.86","68.4073"
"72","2018-12-23","45.85","68.0085"
"73","2018-12-22","45.84","68.0085"
"74","2018-12-21","45.83","68.0085"
"75","2018-12-20","45.82","67.371"
"76","2018-12-19","45.81","67.1121"
"77","2018-12-18","45.8","66.7454"
"78","2018-12-17","45.79","66.6208"
"79","2018-12-16","45.78","66.4337"
"80","2018-12-15","45.77","66.4337"
"81","2018-12-14","45.76","66.4337"
"82","2018-12-13","45.75","66.255"
"83","2018-12-12","45.74","66.4225"
"84","2018-12-11","45.73","66.5022"
"85","2018-12-10","45.72","66.2416"
"86","2018-12-09","45.71","66.9227"
"87","2018-12-08","45.7","66.9227"
"88","2018-12-07","45.69","66.9227"
"89","2018-12-06","45.68","66.7377"
"90","2018-12-05","45.67","66.8242"
"91","2018-12-04","45.66","66.4467"
"92","2018-12-03","45.65","66.2921"
"93","2018-12-02","45.64","66.5335"
"94","2018-12-01","45.63","66.5335"
"95","2018-11-30","45.62","66.5335"
"96","2018-11-29","45.61","66.6342"
"97","2018-11-28","45.6","66.9436"
"98","2018-11-27","45.59","66.78"
"99","2018-11-26","45.58","66.5072"
"100","2018-11-25","45.57","65.6664"
